1.207999999999071e-06,
3.79200000000246e-06,
5.416000000001142e-06,
2.874999999999406e-06,
7.2919999999990215e-06,
6.249999999999312e-06,
1.3957999999997944e-05,
1.845900000000192e-05,
1.879100000000064e-05,
2.4915999999999827e-05,
1.612499999999878e-05,
1.1874999999997998e-05,
2.74170000000018e-05,
3.724999999999909e-05,
3.575000000000106e-05,
2.462500000000034e-05,
4.979199999999989e-05,
2.9457999999999568e-05,
1.0750000000000343e-05,
3.3332999999999974e-05,
7.000000000000062e-06,
4.0959000000000134e-05,
1.837500000000103e-05,
0.00011187499999999739,
8.804100000000051e-05,
7.991599999999932e-05,
8.808299999999922e-05,
9.170800000000284e-05,
8.520899999999929e-05,
3.725000000000256e-05,
0.00010316600000000176,
0.0001028749999999988,
8.337500000000012e-05,
0.00013233299999999837,
6.804099999999785e-05,
4.429099999999839e-05,
0.00022670899999999855,
8.237499999999912e-05,
0.00013724999999999848,
0.00014804100000000153,
4.0124999999998495e-05,
0.00027600000000000194,
0.00014487500000000264,
0.00013925000000000048,
0.00026766599999999974,
9.741700000000242e-05,
0.00012558400000000497,
0.0001702499999999968,
0.0002439159999999968,
0.00022562500000000013,
0.00031966700000000264,
3.433300000000444e-05,
0.00037720799999999693,
0.0004154999999999992,
0.00013470799999999727,
0.00027920799999999607,
5.654100000000023e-05,
0.0002477500000000049,
9.05000000000003e-05,
0.00030808300000000066,
0.00045412499999999967,
7.041700000000317e-05,
0.0001557500000000031,
0.00033333400000000457,
0.000519666000000002,
0.00041962499999999986,
0.0004577499999999998,
0.0004889169999999984,
0.0002682500000000046,
0.0005711249999999987,
0.0003029160000000003,
0.0003293749999999998,
0.0005274170000000022,
0.00032083299999999954,
0.00024341699999999578,
0.000248458,
0.0001761669999999979,
0.0006721250000000026,
0.0007749579999999992,
0.0007385420000000018,
0.00024787499999999463,
0.000877041000000002,
0.0005794169999999987,
0.0008781250000000004,
0.0006316249999999968,
0.0005107499999999973,
0.0002161250000000045,
0.0008023340000000018,
0.0007764999999999994,
0.0010817090000000001,
0.0003800830000000033,
0.001188291000000001,
0.00017245800000000033,
0.0005386669999999996,
0.0002339579999999994,
0.00029245799999999544,
0.000810667000000001,
0.0008835410000000016,
0.0007954999999999976,
0.0005520000000000039,
0.0006057090000000029,
0.0010007920000000003,
0.0010029160000000065,
0.00047212499999999685,
0.00035724999999999646,
0.0008090830000000021,
0.0006535000000000013,
0.0009085419999999983,
0.0003656249999999944,
0.0007686670000000007,
0.0008763749999999987,
0.0007157079999999955,
0.0013505409999999968,
0.001095040999999991,
0.0007180000000000103,
0.0009236250000000112,
0.0009603749999999994,
0.0008548750000000049,
0.00044683400000000706,
0.00046204199999999584,
0.0010020409999999952,
0.0005099999999999966,
0.00025562499999999544,
0.0018689169999999977,
0.0001986669999999996,
0.0003745420000000055,
0.00046012500000000567,
0.0015001659999999972,
0.0007323330000000017,
0.0015835829999999995,
0.0008410830000000064,
0.0014922500000000005,
0.0015403330000000048,
0.0021107920000000002,
0.0005551250000000035,
0.0004822910000000097,
0.0020909169999999977,
0.00012629200000000007,
0.0009662919999999936,
0.001427250000000005,
0.0022950830000000033,
0.0025480829999999927,
0.000863249999999996,
0.0025307499999999983,
0.0013013749999999935,
0.0012226669999999967,
0.0021365829999999975,
0.0010284589999999955,
0.001055750000000008,
0.0010191249999999957,
0.0014090409999999998,
0.001738208000000005,
0.002095874999999997,
0.0010517080000000123,
0.0025827499999999948,
0.002667624999999993,
0.0017225000000000018,
0.0013822500000000015,
0.0007012499999999866,
0.003382374999999993,
0.0005369159999999984,
0.0006520000000000137,
0.0009209999999999774,
0.0006387499999999935,
0.0005678339999999893,
0.002210958000000013,
0.0025019160000000207,
0.0019450419999999802,
0.0012682920000000042,
0.00046883300000000183,
0.003302833000000005,
0.0027694159999999968,
0.0036115830000000015,
0.002755042000000013,
0.0022814579999999862,
0.00281099999999998,
0.001368041999999986,
0.0006214999999999971,
0.003519125000000012,
0.0011352500000000043,
0.002203708999999998,
0.000686416000000023,
0.0016802499999999942,
0.0032737919999999976,
0.0013324170000000024,
0.0007532090000000047,
0.0014086670000000023,
0.0010469999999999924,
0.0006684590000000101,
0.00016075000000001505,
0.002550416,
0.002775707999999988,
0.0025260000000000005,
0.005220707999999991,
0.001966042000000001,
0.005839167000000006,
0.004740125000000012,
0.003069832999999994,
0.003891875000000017,
0.004377749999999986,
0.0018843339999999875,
0.0025634999999999963,
0.0033825830000000223,
0.004333042000000009,
0.0028863339999999904,
0.0025667500000000065,
0.0020487919999999937,
0.0014867919999999868,
0.0013652089999999784,
0.0019953750000000214,
0.004266417000000022,
0.003858334000000019,
0.0034453339999999666,
0.002722374999999999,
0.0009745830000000288,
0.005245582999999998,
0.003882665999999979,
0.004280624999999982,
0.00443908300000001,
0.006043958000000016,
0.003751791999999976,
0.0008875419999999634,
0.005508542000000005,
0.005505250000000017,
0.0020317079999999654,
0.0020652919999999964,
0.004349040999999998,
0.0026352500000000334,
0.001253832999999982,
0.0008282499999999748,
0.002218792000000025,
0.004124374999999958,
0.0026303329999999847,
0.0029451669999999708,
0.006663291999999987,
0.0056504159999999914,
0.0074987499999999985,
0.001455790999999984,
0.006405333999999985,
0.0018741660000000104,
0.0006067499999999892,
0.0011895420000000434,
0.002501666999999985,
0.001785333,
0.0015016660000000126,
0.005172624999999986,
0.0032641669999999845,
0.0036985409999999996,
0.0006369999999999987,
0.005399249999999967,
0.002992458000000031,
0.0035257080000000163,
0.006567957999999985,
0.005211124999999983,
0.0006268329999999933,
0.0031204589999999643,
0.001877249999999997,
0.004246583000000026,
0.0006860000000000199,
0.002206792000000013,
0.005343458000000023,
0.0030732920000000052,
0.006754707999999998,
0.002550707999999957,
0.0033601659999999978,
0.005522583000000025,
0.0026402080000000328,
0.007132791999999999,
0.0028265000000000096,
0.0077527500000000305,
0.0033314999999999872,
0.003403625000000021,
0.0027208750000000115,
0.003660207999999998,
0.008970916999999967,
0.0021824590000000255,
0.0034003329999999776,
0.0012234580000000106,
0.004337166999999975,
0.0060189170000000125,
0.00712554200000004,
0.005588374999999979,
0.010171959000000008,
0.007597375000000017,
0.0006646249999999743,
0.004009333000000059,
0.0015041250000000783,
0.0020163340000000085,
0.0036152499999999588,
0.008284249999999993,
0.0023262920000000076,
0.006306249999999958,
0.005498832999999981,
0.005844792000000099,
0.004760499999999945,
0.003439292000000038,
0.003266084000000058,
0.005279665999999961,
0.0031442499999999596,
0.005775291000000071,
0.013235667000000007,
0.00628354199999992,
0.008057416999999956,
0.007068666999999973,
0.011561999999999961,
0.003945540999999997,
0.005957999999999908,
0.00392625000000002,
0.006814333000000006,
0.009279790999999982,
0.008794124999999986,
0.005021084000000009,
0.0011768749999999661,
0.0024423749999999966,
0.0031350840000000657,
0.004979624999999932,
0.008571459000000003,
0.008067625000000023,
0.00555883299999993,
0.003349999999999964,
0.00941616699999992,
0.0026172500000000154,
0.010162374999999946,
0.0026924170000000025,
